city_id,city,country_id,last_update
1,A Corua (La Corua),87,9:27 AM
2,Abha,82,10:27 AM
3,Abu Dhabi,101,11:27 AM
4,Acua,60,12:27 PM
5,Adana,97,1:27 PM
6,Addis Abeba,31,2:27 PM
7,Aden,107,3:27 PM
8,Adoni,44,4:27 PM
9,Ahmadnagar,44,5:27 PM
10,Akishima,50,6:27 PM
11,Akron,103,7:27 PM
12,al-Ayn,101,8:27 PM
13,al-Hawiya,82,9:27 PM
14,al-Manama,11,10:27 PM
15,al-Qadarif,89,11:27 PM
16,al-Qatif,82,12:27 AM
17,Alessandria,49,1:27 AM
18,Allappuzha (Alleppey),44,2:27 AM
19,Allende,60,3:27 AM
20,Almirante Brown,6,4:27 AM
21,Alvorada,15,5:27 AM
22,Ambattur,44,6:27 AM
23,Amersfoort,67,7:27 AM
24,Amroha,44,8:27 AM
25,Angra dos Reis,15,9:27 AM
26,Anpolis,15,10:27 AM
27,Antofagasta,22,11:27 AM
28,Aparecida de Goinia,15,12:27 PM
29,Apeldoorn,67,1:27 PM
30,Araatuba,15,2:27 PM
31,Arak,46,3:27 PM
32,Arecibo,77,4:27 PM
33,Arlington,103,5:27 PM
34,Ashdod,48,6:27 PM
35,Ashgabat,98,7:27 PM
36,Ashqelon,48,8:27 PM
37,Asuncin,73,9:27 PM
38,Athenai,39,10:27 PM
39,Atinsk,80,11:27 PM
40,Atlixco,60,12:27 AM
41,Augusta-Richmond County,103,1:27 AM
42,Aurora,103,2:27 AM
43,Avellaneda,6,3:27 AM
44,Bag,15,4:27 AM
45,Baha Blanca,6,5:27 AM
46,Baicheng,23,6:27 AM
47,Baiyin,23,7:27 AM
48,Baku,10,8:27 AM
49,Balaiha,80,9:27 AM
50,Balikesir,97,10:27 AM
51,Balurghat,44,11:27 AM
52,Bamenda,19,12:27 PM
53,Bandar Seri Begawan,16,1:27 PM
54,Banjul,37,2:27 PM
55,Barcelona,104,3:27 PM
56,Basel,91,4:27 PM
57,Bat Yam,48,5:27 PM
58,Batman,97,6:27 PM
59,Batna,2,7:27 PM
60,Battambang,18,8:27 PM
61,Baybay,75,9:27 PM
62,Bayugan,75,10:27 PM
63,Bchar,2,11:27 PM
64,Beira,63,12:27 AM
65,Bellevue,103,1:27 AM
66,Belm,15,2:27 AM
