country_id,country,last_update
1,Afghanistan,9:29 AM
2,Algeria,10:29 AM
3,American Samoa,11:29 AM
4,Angola,12:29 PM
5,Anguilla,1:29 PM
6,Argentina,2:29 PM
7,Armenia,3:29 PM
8,Australia,4:29 PM
9,Austria,5:29 PM
10,Azerbaijan,6:29 PM
11,Bahrain,7:29 PM
12,Bangladesh,8:29 PM
13,Belarus,9:29 PM
14,Bolivia,10:29 PM
15,Brazil,11:29 PM
16,Brunei,12:29 AM
17,Bulgaria,1:29 AM
18,Cambodia,2:29 AM
19,Cameroon,3:29 AM
20,Canada,4:29 AM
21,Chad,5:29 AM
22,Chile,6:29 AM
23,China,7:29 AM
24,Colombia,8:29 AM
25,"Congo, The Democratic Republic of the",9:29 AM
26,Czech Republic,10:29 AM
27,Dominican Republic,11:29 AM
28,Ecuador,12:29 PM
29,Egypt,1:29 PM
30,Estonia,2:29 PM
31,Ethiopia,3:29 PM
32,Faroe Islands,4:29 PM
33,Finland,5:29 PM
34,France,6:29 PM
35,French Guiana,7:29 PM
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
