country_id,country,last_update
71,Oman,7:29 AM
72,Pakistan,8:29 AM
73,Paraguay,9:29 AM
74,Peru,10:29 AM
75,Philippines,11:29 AM
76,Poland,12:29 PM
77,Puerto Rico,1:29 PM
78,Romania,2:29 PM
79,Runion,3:29 PM
80,Russian Federation,4:29 PM
81,Saint Vincent and the Grenadines,5:29 PM
82,Saudi Arabia,6:29 PM
83,Senegal,7:29 PM
84,Slovakia,8:29 PM
85,South Africa,9:29 PM
86,South Korea,10:29 PM
87,Spain,11:29 PM
88,Sri Lanka,12:29 AM
89,Sudan,1:29 AM
90,Sweden,2:29 AM
91,Switzerland,3:29 AM
92,Taiwan,4:29 AM
93,Tanzania,5:29 AM
94,Thailand,6:29 AM
95,Tonga,7:29 AM
96,Tunisia,8:29 AM
97,Turkey,9:29 AM
98,Turkmenistan,10:29 AM
99,Tuvalu,11:29 AM
100,Ukraine,12:29 PM
101,United Arab Emirates,1:29 PM
102,United Kingdom,2:29 PM
103,United States,3:29 PM
104,Venezuela,4:29 PM
105,Vietnam,5:29 PM
106,"Virgin Islands, U.S.",6:29 PM
107,Yemen,7:29 PM
108,Yugoslavia,8:29 PM
109,Zambia,9:29 PM
